Tên SP,Nhà sản xuất,Model,Kết nối,Kích thước,Loại switch,Cân nặng,Giá(đ)
Bàn phím cơ DarkFlash GD100 Milky Brown Yellow Axis switch - Hàng Giá Sốc,DarkFlash,3108,không dây,358.07547169811323,pink,1013.0098039215686,449000 
Bàn phím cơ DarkFlash GD108 Sugar Brown Yellow Axis switch,DarkFlash,GD108,không dây,358.07547169811323,silver,1013.0098039215686,849000 
Bàn phím DarkFlash V200 Wireless Green,DarkFlash,GM980,không dây,358.07547169811323,brown,369.0,349000 
Bàn phím DarkFlash V200 Wireless Pink,DarkFlash,FL100,không dây,358.07547169811323,green,369.0,349000 
Bàn phím DarkFlash V200 Wireless White,DarkFlash,EK387L,không dây,358.07547169811323,black,369.0,349000 
Bàn phím cơ DareU EK98 Pro Triple Mode Proto DareU Dream switch,DareU,FL680SAM,không dây,392.0,green,925.0,1189000 
Bàn phím cơ DareU EK98 Pro Triple Mode Black Golden DareU Dream switch,DareU,CMK98SAM,không dây,392.0,red,925.0,1189000 
Bàn phím cơ DarkFlash GD68 Starry Blue Yellow Axis switch,DarkFlash,3068B,không dây,358.07547169811323,brown,1013.0098039215686,649000 
Bàn phím cơ DarkFlash GD68 Sugar Brown Yellow Axis switch,DarkFlash,H87S,không dây,358.07547169811323,cherry,1013.0098039215686,649000 
Bàn phím cơ DarkFlash GD68 Milky Brown Yellow Axis switch,DarkFlash,CMK87,không dây,358.07547169811323,white,1013.0098039215686,649000 
Bàn phím cơ DarkFlash GD87 Sugar Brown Yellow Axis switch,DarkFlash,CMK98SAM,không dây,358.07547169811323,red,1013.0098039215686,649000 
Bàn phím cơ DarkFlash GD87 Starry Blue Yellow Axis switch,DarkFlash,EK387L,không dây,358.07547169811323,blue,1013.0098039215686,649000 
Bàn phím cơ Fuhlen D87s RGB Blue switch,Fuhlen,D87s,không dây,358.07547169811323,blue,1013.0098039215686,599000 
Bàn phím cơ DareU EK87L V2 White Dream switch,DareU,EK398,vừa có dây vừa không dây,358.07547169811323,silver,1013.0098039215686,399000 
Bàn phím cơ DarkFlash GD100 Milky Brown Yellow Axis switch,DarkFlash,FL980,không dây,358.07547169811323,pink,1013.0098039215686,549000 
Bàn phím cơ DareU EK75 White Black DareU Dream switch,DareU,EK75,vừa có dây vừa không dây,358.07547169811323,cherry,1013.0098039215686,589000 
Bàn phím cơ DareU EK87L V2 Black Firefly switch,DareU,EK87,vừa có dây vừa không dây,358.07547169811323,white,1013.0098039215686,399000 
Bộ switch DareU FIREFLY ,DareU,FL680SAM,vừa có dây vừa không dây,358.07547169811323,brown,1013.0098039215686,99000 
Bộ switch DareU DREAM ,DareU,H87S,có dây,358.07547169811323,cherry,1013.0098039215686,99000 
Bàn phím cơ DareU EK87L V2 Black Dream switch,DareU,EK368L,vừa có dây vừa không dây,358.07547169811323,black,1013.0098039215686,399000 
Bàn phím cơ E-DRA EK368L Wireless Beta Brown switch,E-DRA,EK368L,không dây,358.07547169811323,brown,1013.0098039215686,449000 
