Tên SP,Nhà sản xuất,Model,Kết nối,Kích thước,Loại switch,Giá(đ)
Bàn Phím Cơ Gaming không dây Asus ROG Strix Scope II 96 Wireless NXSW,Asus,CD87HR,vừa có dây vừa không dây,357.3097826086956,red,3899000
Bàn phím Gaming ASUS ROG STRIX SCOPE II NX USB,Asus,3084,có dây,357.3097826086956,red,2699000
Bàn phím Gaming ASUS ROG AZOTH,Asus,KB1,có dây,326.0,red,6099000
Bàn phím Gaming Asus ROG Azoth NX SM Black ,Asus,CD87HR,có dây,326.0,silver,5999000
Bàn phím Gaming ASUS ROG AZOTH NX RED,Asus,EK387L White,có dây,326.0,pink,5999000
Bàn phím cơ Asus ROG Falchion Blue switch 90MP01Y2-BKUA00,Asus,ROG Falchion,không dây,305.0,blue,1599000
Bàn phím Gaming Asus ROG Strix Scope II NX SM ,Asus,GM328,có dây,436.0,green,3199000
Bàn phím game Asus TUF K1 ,Asus,H95S Panda 3 Mode Wireless,vừa có dây vừa không dây,357.3097826086956,cherry,849000
Kit bàn phím cơ FLEsport Q75 Crystal Grey ,Edra,GP75CPM,vừa có dây vừa không dây,357.3097826086956,green,1249000
Bàn phím Lecoo KB101 đen ,LECOO,KB1,vừa có dây vừa không dây,357.3097826086956,silver,129000
"Bàn phím cơ gaming có dây Newmen GM328, Purple-White, Blue Switch",Newmen,GM328,vừa có dây vừa không dây,357.3097826086956,red,529000
Bàn phím gaming có dây Razer Ornata V3 Tenkeyless Led RGB RZ03-04880100-R3M1,Razer,CD108HR,có dây,357.3097826086956,red,1299000
Bàn phím cơ gaming có dây Rapoo V500 Pro Black ,Rapoo,CK87S,có dây,434.0,blue,629000
Bàn phím AKKO 3108s RGB pro - Pink ,Akko,Everest Max,không dây,442.0,cherry,1429000
Bàn phím AKKO 3108s RGB pro - Pink ,Akko,3084,không dây,442.0,cherry,1429000
Bàn phím AKKO 3098 DS Matcha Red Bean ,Akko,GM328,có dây,382.0,pink,1399000
Bàn phím AKKO 3098 DS Matcha Red Bean ,Akko,EK387L RGB,có dây,382.0,red,1399000
Bàn phím cơ Logitech G512 Lightsync RGB Linear ,Logitech,G512 GX,không dây,132.0,brown,1949000
Bàn phím AKKO 3087 DS Midnight ,Akko,EK387L RGB,không dây,360.0,black,1299000
Bàn phím AKKO 3096 DS Midnight ,Akko,Kailh Clione Limacina ,vừa có dây vừa không dây,380.0,yellow,1299000
Bàn phím Corsair K100 RGB Speed switch ,Corsair,K10,không dây,357.3097826086956,cherry,4999000
Bàn phím Corsair K100 RGB Optical switch ,Corsair,K10,có dây,357.3097826086956,silver,4999000
Bàn Phím Cơ Machenike K500-B61 Wireless White Grey Red Switch Led RGB ,Vortex,GP75CPM,không dây,357.3097826086956,silver,1099000
Bàn phím cơ AULA F99 Đen trắng hồng ,AULA,Everest Max,vừa có dây vừa không dây,357.3097826086956,cherry,1689000
Bàn phím không dây Asus ROG Falchion NX Blue sw ,Asus,ROG Falchion,vừa có dây vừa không dây,305.0,pink,3499000
Bàn phím cơ AKKO 3087 RF Dragon Ball Z - Goku ,Akko,EK375,không dây,360.0,red,1599000
